Dataset;Algoritmo;Elementos;Media(ms)
Reserva1000alea;HeapSort;1000;5,00
Reserva1000alea;QuickSort;1000;3,60
Reserva1000alea;QuickSortInsertion;1000;2,60
Reserva1000alea;QuickSortInsertionExato;1000;2,40
Reserva1000ord;HeapSort;1000;1,00
Reserva1000ord;QuickSort;1000;1,00
Reserva1000ord;QuickSortInsertion;1000;1,60
Reserva1000ord;QuickSortInsertionExato;1000;0,80
Reserva1000inv;HeapSort;1000;0,80
Reserva1000inv;QuickSort;1000;1,00
Reserva1000inv;QuickSortInsertion;1000;1,00
Reserva1000inv;QuickSortInsertionExato;1000;1,40
Reserva5000alea;HeapSort;5000;4,60
Reserva5000alea;QuickSort;5000;4,40
Reserva5000alea;QuickSortInsertion;5000;4,00
Reserva5000alea;QuickSortInsertionExato;5000;4,00
Reserva5000ord;HeapSort;5000;2,60
Reserva5000ord;QuickSort;5000;2,80
Reserva5000ord;QuickSortInsertion;5000;2,20
Reserva5000ord;QuickSortInsertionExato;5000;2,20
Reserva5000inv;HeapSort;5000;3,00
Reserva5000inv;QuickSort;5000;2,20
Reserva5000inv;QuickSortInsertion;5000;2,40
Reserva5000inv;QuickSortInsertionExato;5000;2,40
Reserva10000alea;HeapSort;10000;7,80
Reserva10000alea;QuickSort;10000;7,80
Reserva10000alea;QuickSortInsertion;10000;6,40
Reserva10000alea;QuickSortInsertionExato;10000;6,80
Reserva10000ord;HeapSort;10000;4,80
Reserva10000ord;QuickSort;10000;4,40
Reserva10000ord;QuickSortInsertion;10000;4,60
Reserva10000ord;QuickSortInsertionExato;10000;3,60
Reserva10000inv;HeapSort;10000;4,80
Reserva10000inv;QuickSort;10000;3,80
Reserva10000inv;QuickSortInsertion;10000;3,20
Reserva10000inv;QuickSortInsertionExato;10000;3,80
Reserva50000alea;HeapSort;50000;45,00
Reserva50000alea;QuickSort;50000;37,80
Reserva50000alea;QuickSortInsertion;50000;36,60
Reserva50000alea;QuickSortInsertionExato;50000;35,40
Reserva50000ord;HeapSort;50000;22,60
Reserva50000ord;QuickSort;50000;20,20
Reserva50000ord;QuickSortInsertion;50000;17,60
Reserva50000ord;QuickSortInsertionExato;50000;21,60
Reserva50000inv;HeapSort;50000;30,20
Reserva50000inv;QuickSort;50000;19,80
Reserva50000inv;QuickSortInsertion;50000;20,00
Reserva50000inv;QuickSortInsertionExato;50000;21,40
