Dataset;Algoritmo;Elementos;Media(ms)
Reserva1000alea;HeapSort;1000;4,20
Reserva1000alea;QuickSort;1000;3,20
Reserva1000alea;QuickSortInsertion;1000;2,60
Reserva1000ord;HeapSort;1000;1,40
Reserva1000ord;QuickSort;1000;1,00
Reserva1000ord;QuickSortInsertion;1000;1,00
Reserva1000inv;HeapSort;1000;2,40
Reserva1000inv;QuickSort;1000;1,40
Reserva1000inv;QuickSortInsertion;1000;1,00
Reserva5000alea;HeapSort;5000;5,80
Reserva5000alea;QuickSort;5000;6,00
Reserva5000alea;QuickSortInsertion;5000;4,60
Reserva5000ord;HeapSort;5000;3,00
Reserva5000ord;QuickSort;5000;2,40
Reserva5000ord;QuickSortInsertion;5000;2,00
Reserva5000inv;HeapSort;5000;3,40
Reserva5000inv;QuickSort;5000;2,40
Reserva5000inv;QuickSortInsertion;5000;3,00
Reserva10000alea;HeapSort;10000;8,00
Reserva10000alea;QuickSort;10000;7,40
Reserva10000alea;QuickSortInsertion;10000;8,00
Reserva10000ord;HeapSort;10000;5,60
Reserva10000ord;QuickSort;10000;6,00
Reserva10000ord;QuickSortInsertion;10000;4,20
Reserva10000inv;HeapSort;10000;6,00
Reserva10000inv;QuickSort;10000;5,20
Reserva10000inv;QuickSortInsertion;10000;4,20
Reserva50000alea;HeapSort;50000;45,20
Reserva50000alea;QuickSort;50000;35,00
Reserva50000alea;QuickSortInsertion;50000;37,20
Reserva50000ord;HeapSort;50000;22,20
Reserva50000ord;QuickSort;50000;21,00
Reserva50000ord;QuickSortInsertion;50000;19,20
Reserva50000inv;HeapSort;50000;29,80
Reserva50000inv;QuickSort;50000;19,60
Reserva50000inv;QuickSortInsertion;50000;18,20
