Dataset;Algoritmo;Elementos;Media(ms)
Reserva1000alea;ABB;1000;1,80
Reserva1000alea;AVL;1000;2,00
Reserva1000alea;Hashing;1000;1,80
Reserva1000ord;ABB;1000;0,40
Reserva1000ord;AVL;1000;0,40
Reserva1000ord;Hashing;1000;0,20
Reserva1000inv;ABB;1000;0,40
Reserva1000inv;AVL;1000;0,60
Reserva1000inv;Hashing;1000;0,20
Reserva5000alea;ABB;5000;2,80
Reserva5000alea;AVL;5000;2,60
Reserva5000alea;Hashing;5000;2,60
Reserva5000ord;ABB;5000;1,60
Reserva5000ord;AVL;5000;1,80
Reserva5000ord;Hashing;5000;1,00
Reserva5000inv;ABB;5000;1,80
Reserva5000inv;AVL;5000;1,40
Reserva5000inv;Hashing;5000;0,80
Reserva10000alea;ABB;10000;6,20
Reserva10000alea;AVL;10000;5,40
Reserva10000alea;Hashing;10000;3,00
Reserva10000ord;ABB;10000;3,20
Reserva10000ord;AVL;10000;2,40
Reserva10000ord;Hashing;10000;2,20
Reserva10000inv;ABB;10000;3,00
Reserva10000inv;AVL;10000;3,20
Reserva10000inv;Hashing;10000;2,00
Reserva50000alea;ABB;50000;37,20
Reserva50000alea;AVL;50000;30,80
Reserva50000alea;Hashing;50000;41,00
Reserva50000ord;ABB;50000;14,60
Reserva50000ord;AVL;50000;12,40
Reserva50000ord;Hashing;50000;33,20
Reserva50000inv;ABB;50000;14,40
Reserva50000inv;AVL;50000;12,80
Reserva50000inv;Hashing;50000;32,80
